no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
448,N/A,Sandri Yulia Rahma,5,5 bulan lalu,Pelayanannya good 🥰,N/A,Tidak
449,N/A,Nina kusuma,5,5 bulan lalu,N/A,N/A,Tidak
450,N/A,18_PRIQUEENTA,5,5 bulan lalu,"tempat nya asikk bgtttt, yeayyyy. Happy…",N/A,Tidak
451,N/A,Ardisa Lintang Agsari,5,5 bulan lalu,"tempatnya enakk, matchanyaa enakk",N/A,Tidak
452,N/A,Nayla Rizka,5,5 bulan lalu,"untuk pecinta matchaa, tempat ini recomended bgtt sii, matchanya enakk. spot fotonya banyak instagraablee😻😻‼️‼️",N/A,Tidak
453,N/A,taletha audrey azzahra,5,5 bulan lalu,N/A,N/A,Tidak
454,N/A,Aditya Febrian,5,5 bulan lalu,N/A,N/A,Tidak
455,N/A,Aisyah Lintang,5,5 bulan lalu,"Tempatnya cozy, matcha nya juga juara!",N/A,Tidak
456,N/A,wuln .05,5,5 bulan lalu,MACHA NYA ENAKKKK,N/A,Tidak
457,N/A,khinaya zaza,5,5 bulan lalu,enak mantap,N/A,Tidak
458,N/A,Shafira Najwa,5,5 bulan lalu,"Enak bgtt, staf nya ramah",N/A,Tidak
459,N/A,imroatu zakiya,5,5 bulan lalu,"Matcha nya enak bgt, cocok buat nongkrong sm temen ato pasangan, banyak kursi",N/A,Tidak
460,N/A,Safa Puji Arifah,5,5 bulan lalu,"macha nya enak bangett, harus coba pokok nya",N/A,Tidak
461,N/A,Hafiza Sidqi,5,5 bulan lalu,tempat yang luar biasa untuk menikmati matcha,N/A,Tidak
462,N/A,Alya Shalsabilla,5,5 bulan lalu,cocok banget buat pecinta matcha sih tempatnya tjakep parah dan menunya variasi matchanya banyak unik jd menarik buat dicoba,N/A,Tidak
463,N/A,nonce grace,4,5 bulan lalu,"tempatnya aesthetic, instagramable, matcha nya enak",N/A,Tidak
464,N/A,Violen Kristin,5,5 bulan lalu,"Menarik, menyenangkan, dan aesthetic",N/A,Tidak
465,N/A,Adela Chairunnisa,5,5 bulan lalu,N/A,N/A,Tidak
466,N/A,Desy Yuanita,5,5 bulan lalu,N/A,N/A,Tidak
467,N/A,Aileen Komala Widjaja,5,5 bulan lalu,Enak sekali,N/A,Tidak
468,N/A,Fathika Erinsyndia,5,5 bulan lalu,"Bagus bgt tempatnyaaaa, cocok untuk nongkii",N/A,Tidak
469,N/A,Salma Ivana Maygan,5,5 bulan lalu,enaaaaak bgt matchanyaaa😍😍😍 …,N/A,Tidak
470,N/A,Cellzzz,5,5 bulan lalu,"tempatnyaa lucuuu, macha nya juga enakkk, wajib kesini buat ciwi” gemoyy🫰🏻",N/A,Tidak
471,N/A,Oke Deh,5,5 bulan lalu,N/A,N/A,Tidak
472,N/A,Abisoca,5,5 bulan lalu,N/A,N/A,Tidak
473,N/A,Affany Arsya Karima,5,5 bulan lalu,SUPPA LOVEEE MACHIA CLOUDDD ❤️,N/A,Tidak
474,N/A,Claudia bs,5,5 bulan lalu,N/A,N/A,Tidak
475,N/A,Laila Itsnaini,5,5 bulan lalu,N/A,N/A,Tidak
476,N/A,Salfa amelya,5,5 bulan lalu,N/A,N/A,Tidak
477,N/A,Rahmawati Nur Alifah,5,5 bulan lalu,N/A,N/A,Tidak
478,N/A,18_ Mirza Dewi Nuraini,5,5 bulan lalu,N/A,N/A,Tidak
479,N/A,Pelangi Dian Sakanti,5,5 bulan lalu,the matcha was greaat!! cheesecake-nya juga enyaak!! manis n asin kejunya balance bgt!! ambiencenya gong bagus bgt love it! servicenya 100/100❤️,N/A,Tidak
480,N/A,Kyla Putri Azaria kylaputri.2023,5,5 bulan lalu,N/A,N/A,Tidak
481,N/A,Nadya Sheva Z,5,5 bulan lalu,selaluuu enaakk!! apalagi pistachionyaa😗🫰🏻,N/A,Tidak
482,N/A,Raden Kartadipura,5,5 bulan lalu,N/A,N/A,Tidak
483,N/A,Sylvia Zahirashafa,5,5 bulan lalu,"Lokasi nya startegi, mmm matcha nya enak juga",N/A,Tidak
484,N/A,Namiya Farhana,5,5 bulan lalu,N/A,N/A,Tidak
485,N/A,Afifah Nur Rizkia,5,5 bulan lalu,N/A,N/A,Tidak
486,N/A,Aar,5,5 bulan lalu,N/A,N/A,Tidak
