no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
192,N/A,Novita Isna,5,2 minggu lalu,"tempat nya nyaman, menunya enak, playlistnya asikkk bangetttt. bintang 5 pokoknya ⭐️⭐️⭐️⭐️⭐️",N/A,Tidak
193,N/A,Meida Bacs,5,2 minggu lalu,"tempatnya asik, banyak spot foto yang rekomen makanan dan minuman enak 🤩🤩",N/A,Tidak
194,N/A,Aulia Indah Yunitasari,5,2 minggu lalu,Tempatnya cozyy aestetik jugaa😍,N/A,Tidak
195,N/A,Andre Febriansyah,5,2 minggu lalu,Tempat nya asik,N/A,Tidak
196,N/A,Alvina Aulia Rahma,5,2 minggu lalu,keren,N/A,Tidak
197,N/A,arigatou,5,2 minggu lalu,pelayanannya ramah ga mengecewakan,N/A,Tidak
198,N/A,2464_Reva Nurrofifah,5,2 minggu lalu,bagus,N/A,Tidak
199,N/A,Lilin Purwati,5,2 minggu lalu,N/A,N/A,Tidak
200,N/A,Seri Lahartini A1,4,2 minggu lalu,tempatnya bagus,N/A,Tidak
201,N/A,ibnu faluti,5,2 minggu lalu,N/A,N/A,Tidak
202,N/A,Mochamad Alraafi Akbar,5,2 minggu lalu,N/A,N/A,Tidak
203,N/A,Dwi Setyaningrum,5,2 minggu lalu,"Tempat nyaman baget, seru parah",N/A,Tidak
204,N/A,Yesaaa,5,2 minggu lalu,N/A,N/A,Tidak
205,N/A,Yogaskaratv Yogas,5,2 minggu lalu,N/A,N/A,Tidak
206,N/A,Fuji L,5,2 minggu lalu,"Sangat memuaskan, tempatnya juga nyaman",N/A,Tidak
207,N/A,Alfi Syahri,5,2 minggu lalu,N/A,N/A,Tidak
208,N/A,Firda Dwi,5,2 minggu lalu,tempat nya bagus bgttt,N/A,Tidak
209,N/A,Nayla Anastasya Putri,5,2 minggu lalu,N/A,N/A,Tidak
210,N/A,Jeni Alfi,5,2 minggu lalu,N/A,N/A,Tidak
211,N/A,Aira Safina,5,2 minggu lalu,"aesthetic, lucu, menarik",N/A,Tidak
212,N/A,chechylia dumatubun,5,2 minggu lalu,N/A,N/A,Tidak
213,N/A,Meilinda Anastasya sinurat,5,2 minggu lalu,pelayanan dan makanannya bagus dan enakkk semuaaa,N/A,Tidak
214,N/A,Florenina Novita,5,2 minggu lalu,N/A,N/A,Tidak
215,N/A,Tiara Kusumah,5,2 minggu lalu,N/A,N/A,Tidak
216,N/A,Bowlby_ Trias Nur Apriliani,5,2 minggu lalu,N/A,N/A,Tidak
217,N/A,Genduk nana,5,2 minggu lalu,N/A,N/A,Tidak
218,N/A,Lubna Khairana,5,2 minggu lalu,N/A,N/A,Tidak
219,N/A,Nadia Elina I,5,2 minggu lalu,seru,N/A,Tidak
220,N/A,Ahmad Wibisono,5,2 minggu lalu,N/A,N/A,Tidak
221,N/A,Dynda Calista,5,2 minggu lalu,N/A,N/A,Tidak
222,N/A,Vicki Ainnaya,5,2 minggu lalu,Nyaman buat ngopi bareng temen. Good,N/A,Tidak
223,N/A,Alfia putri,5,2 minggu lalu,N/A,N/A,Tidak
224,N/A,Dera Enjel,5,2 minggu lalu,N/A,N/A,Tidak
225,N/A,Redianto Hesadewa,5,2 minggu lalu,N/A,N/A,Tidak
226,N/A,prince jhon,5,2 minggu lalu,"Ramah sekali dan tempatnya nyaman sekali
Faiz,sakti,rehan orang nya asik banget",N/A,Tidak
227,N/A,Seviane Cahya Ningrum,5,2 minggu lalu,N/A,N/A,Tidak
228,N/A,Rizkyandry Paldo,5,2 minggu lalu,"tempat nya bersih,dan pelayanan nya juga ramah”",N/A,Tidak
229,N/A,Muhammad Rifqi,5,2 minggu lalu,N/A,N/A,Tidak
230,N/A,mickey,5,2 minggu lalu,N/A,N/A,Tidak
